"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Area_Of_Wilderness","Soil_Type","Cover_Type"
0.586,0.394,0.167,0.554,0.119,0.834,0.929,0.933,0.512,0.441,"W1","S29","C2"
0.424,0.281,0.152,0.136,0.273,0.157,0.933,0.894,0.472,0.424,"W1","S12","C2"
0.39,0.433,0.121,0.286,0.35,0.143,0.902,0.949,0.571,0.059,"W1","S23","C2"
0.662,0.086,0.106,0.163,0.255,0.338,0.858,0.886,0.563,0.347,"W1","S29","C1"
0.272,0.2,0.273,0.129,0.323,0.128,0.937,0.799,0.354,0.181,"W4","S6","C6"
0.626,0.839,0.318,0.31,0.279,0.234,0.618,0.89,0.815,0.453,"W1","S29","C1"
0.614,0.186,0.106,0.215,0.207,0.936,0.898,0.89,0.52,0.413,"W1","S29","C2"
0.654,0.131,0.167,0.043,0.239,0.539,0.882,0.846,0.488,0.198,"W1","S22","C1"
0.444,0.264,0.091,0.245,0.264,0.224,0.902,0.909,0.535,0.281,"W1","S12","C2"
0.694,0.919,0.182,0.177,0.251,0.788,0.756,0.886,0.677,0.219,"W1","S22","C1"
0.639,0.186,0.091,0.048,0.229,0.537,0.894,0.898,0.531,0.017,"W3","S23","C1"
0.692,0.369,0.136,0.152,0.226,0.408,0.925,0.929,0.516,0.112,"W1","S23","C1"
0.636,0.406,0.106,0.129,0.221,0.154,0.906,0.941,0.559,0.261,"W1","S22","C1"
0.342,0.042,0.409,0.068,0.238,0.13,0.724,0.677,0.449,0.142,"W3","S10","C6"
0.418,0.417,0.197,0.021,0.225,0.27,0.929,0.941,0.512,0.161,"W1","S12","C2"
0.553,0.583,0.136,0.329,0.296,0.844,0.839,0.98,0.673,0.754,"W1","S29","C2"
0.597,0.825,0.212,0.125,0.255,0.456,0.713,0.925,0.764,0.119,"W3","S32","C1"
0.715,0.958,0.333,0.389,0.402,0.424,0.677,0.787,0.642,0.096,"W3","S24","C1"
0.64,0.881,0.197,0.068,0.238,0.515,0.732,0.902,0.717,0.171,"W1","S23","C1"
0.582,0.456,0.121,0.195,0.293,0.697,0.894,0.957,0.583,0.116,"W1","S30","C2"
0.539,0.153,0.136,0.404,0.379,0.123,0.89,0.87,0.504,0.304,"W1","S12","C2"
0.584,0.131,0.333,0.137,0.311,0.031,0.87,0.728,0.346,0.198,"W3","S24","C2"
0.765,0.711,0.182,0.482,0.479,0.65,0.76,0.972,0.76,0.383,"W3","S38","C7"
0.712,0.142,0.136,0.513,0.324,0.464,0.886,0.87,0.508,0.601,"W1","S40","C1"
0.537,0.317,0.136,0.11,0.249,0.513,0.925,0.913,0.504,0.62,"W1","S12","C2"
0.572,0.978,0.394,0.347,0.43,0.07,0.654,0.732,0.594,0.213,"W1","S30","C2"
0.483,0.078,0.136,0.273,0.265,0.243,0.854,0.866,0.547,0.18,"W1","S12","C2"
0.578,0.014,0.227,0.243,0.319,0.405,0.787,0.827,0.575,0.218,"W3","S33","C1"
0.397,0.9,0.091,0.195,0.229,0.056,0.803,0.917,0.661,0.176,"W1","S12","C2"
0.532,0.161,0.061,0.021,0.227,0.545,0.878,0.906,0.563,0.876,"W1","S20","C2"
0.451,0.064,0.076,0.021,0.235,0.385,0.854,0.898,0.583,0.889,"W1","S12","C2"
0.407,0.733,0.242,0.03,0.236,0.212,0.701,0.969,0.811,0.126,"W3","S33","C5"
0.67,0.144,0.167,0.228,0.257,0.658,0.89,0.85,0.484,0.217,"W1","S29","C1"
0.626,0.069,0.288,0.395,0.376,0.321,0.815,0.768,0.465,0.35,"W3","S24","C1"
0.393,0.844,0.106,0.231,0.234,0.153,0.787,0.929,0.693,0.208,"W1","S12","C2"
0.443,0.025,0.121,0.021,0.227,0.394,0.831,0.882,0.591,0.767,"W1","S20","C2"
0.586,0.875,0.03,0.578,0.465,0.794,0.839,0.933,0.638,0.739,"W1","S12","C2"
0.416,0.947,0.303,0.215,0.304,0.289,0.685,0.811,0.665,0.332,"W3","S10","C6"
0.67,0.608,0.091,0.375,0.233,0.845,0.839,0.969,0.665,0.42,"W1","S29","C2"
0.226,0.789,0.182,0.03,0.224,0.207,0.736,0.945,0.756,0.07,"W4","S10","C6"
0.59,0.964,0.136,0.021,0.225,0.353,0.795,0.886,0.634,0.118,"W3","S22","C1"
0.566,0.953,0.242,0.203,0.328,0.234,0.728,0.839,0.654,0.354,"W3","S32","C2"
0.37,0.2,0.152,0.349,0.267,0.091,0.913,0.87,0.472,0.384,"W1","S12","C2"
0.692,0.6,0.197,0.137,0.251,0.547,0.815,0.992,0.705,0.361,"W1","S23","C7"
0.595,0.256,0.106,0.399,0.203,0.194,0.909,0.902,0.516,0.175,"W1","S29","C2"
0.675,0.214,0.045,0.021,0.225,0.686,0.882,0.917,0.571,0.264,"W1","S22","C1"
0.583,0.078,0.121,0.289,0.236,0.42,0.854,0.878,0.555,0.042,"W1","S22","C1"
0.449,0.242,0.136,0.279,0.231,0.245,0.921,0.882,0.476,0.094,"W1","S12","C2"
0.495,0.989,0.182,0.122,0.265,0.328,0.791,0.862,0.61,0.302,"W1","S29","C2"
0.562,0.744,0.273,0.275,0.339,0.741,0.677,0.961,0.827,0.147,"W1","S30","C2"
0.645,0.881,0.318,0.298,0.403,0.369,0.626,0.85,0.768,0.361,"W3","S33","C1"
0.611,0.211,0.227,0.435,0.444,0.591,0.933,0.831,0.398,0.64,"W1","S29","C1"
0.447,0.506,0.076,0.089,0.225,0.276,0.874,0.961,0.618,0.116,"W1","S12","C2"
0.681,0.4,0.061,0.068,0.226,0.82,0.89,0.941,0.579,0.088,"W1","S22","C1"
0.789,0.906,0.182,0.322,0.311,0.685,0.752,0.894,0.689,0.604,"W3","S38","C7"
0.621,0.019,0.152,0.136,0.257,0.262,0.819,0.87,0.591,0.248,"W1","S29","C1"
0.701,0.064,0.182,0.381,0.295,0.481,0.839,0.843,0.535,0.608,"W1","S29","C1"
0.598,0.089,0.152,0.021,0.224,0.388,0.858,0.858,0.528,0.293,"W3","S23","C1"
0.98,0.031,0.227,0.778,0.7,0.659,0.799,0.823,0.555,0.388,"W3","S40","C7"
0.209,0.953,0.576,0.198,0.437,0.09,0.465,0.606,0.618,0.03,"W4","S10","C3"
0.443,0.981,0.258,0.086,0.27,0.428,0.744,0.819,0.614,0.252,"W1","S29","C2"
0.519,0.028,0.106,0.116,0.284,0.116,0.839,0.89,0.594,0.081,"W3","S31","C2"
0.742,0.942,0.152,0.387,0.265,0.114,0.783,0.89,0.654,0.228,"W3","S32","C7"
0.54,0.714,0.212,0.262,0.27,0.766,0.728,0.976,0.787,0.616,"W1","S29","C2"
0.73,0.617,0.303,0.107,0.225,0.268,0.748,1,0.768,0.532,"W2","S32","C1"
0.314,0.639,0.242,0.061,0.238,0.148,0.764,0.996,0.76,0.124,"W3","S4","C3"
0.737,0.65,0.152,0.068,0.247,0.275,0.795,0.984,0.724,0.269,"W3","S32","C1"
0.567,0.906,0.152,0.369,0.349,0.145,0.768,0.902,0.681,0.236,"W3","S33","C2"
0.6,0.531,0.212,0.021,0.231,0.295,0.862,0.984,0.638,0.018,"W3","S31","C1"
0.798,0.389,0.455,0.13,0.242,0.373,0.976,0.85,0.291,0.151,"W3","S40","C7"
0.443,0.367,0.455,0.107,0.323,0.189,0.988,0.819,0.236,0.115,"W3","S13","C5"
0.444,0.089,0.106,0.136,0.269,0.349,0.862,0.882,0.559,0.773,"W1","S12","C2"
0.607,0.95,0.106,0.086,0.242,0.7,0.811,0.906,0.638,0.382,"W1","S22","C1"
0.567,0.342,0.227,0.24,0.302,0.336,0.961,0.898,0.429,0.2,"W3","S34","C2"
0.652,0.178,0.121,0.068,0.253,0.73,0.898,0.882,0.508,0.154,"W1","S29","C1"
0.617,0.017,0.258,0.156,0.204,0.187,0.772,0.803,0.559,0.049,"W3","S24","C1"
0.652,0.361,0.106,0,0.224,0.32,0.913,0.929,0.535,0.115,"W1","S23","C1"
0.203,0.022,0.561,0.043,0.287,0.169,0.598,0.559,0.417,0.06,"W4","S10","C3"
0.68,0.181,0.212,0.192,0.212,0.37,0.913,0.831,0.429,0.138,"W1","S23","C1"
0.286,0.903,0.273,0.137,0.296,0.132,0.685,0.862,0.72,0.132,"W4","S10","C6"
0.574,0.861,0.121,0.286,0.189,0.243,0.776,0.921,0.697,0.26,"W3","S31","C2"
0.782,0.806,0.212,0.734,0.531,0.666,0.709,0.933,0.776,0.41,"W3","S39","C7"
0.681,0.067,0.318,0.107,0.266,0.14,0.803,0.752,0.457,0.275,"W2","S23","C1"
0.661,0.994,0.242,0.122,0.244,0.583,0.756,0.819,0.594,0.155,"W3","S24","C1"
0.763,0.544,0.106,0,0.224,0.39,0.862,0.969,0.638,0.075,"W3","S38","C7"
0.593,0.267,0.03,0.096,0.225,0.418,0.878,0.929,0.587,0.051,"W1","S22","C1"
0.658,0.286,0.242,0.068,0.245,0.138,0.965,0.862,0.39,0.303,"W2","S23","C1"
0.712,0.461,0.379,0.325,0.397,0.207,0.913,0.941,0.484,0.22,"W2","S33","C1"
0.551,0.169,0.348,0.136,0.315,0.775,0.913,0.732,0.295,0.176,"W1","S30","C2"
0.379,0.533,0.121,0.269,0.477,0.254,0.866,0.972,0.634,0.084,"W3","S2","C3"
0.4,0.369,0.182,0.089,0.253,0.247,0.941,0.921,0.488,0.144,"W3","S11","C3"
0.707,0.917,0.152,0,0.224,0.799,0.768,0.898,0.677,0.095,"W1","S38","C1"
0.578,0.781,0.061,0.623,0.278,0.818,0.823,0.945,0.665,0.871,"W1","S12","C2"
0.647,0.114,0.136,0.077,0.234,0.215,0.87,0.87,0.528,0.239,"W3","S31","C1"
0.748,0.236,0.212,0.183,0.213,0.346,0.945,0.846,0.402,0.355,"W1","S39","C7"
0.691,0.883,0.212,0.021,0.236,0.289,0.724,0.894,0.72,0.264,"W2","S23","C1"
0.543,0.45,0.152,0.021,0.231,0.603,0.906,0.957,0.567,0.726,"W1","S20","C2"
0.663,0.856,0.136,0,0.224,0.703,0.772,0.925,0.701,0.105,"W1","S22","C1"
0.431,0.961,0.212,0.137,0.3,0.17,0.756,0.854,0.638,0.271,"W1","S29","C2"
0.677,0.111,0.227,0.03,0.222,0.236,0.866,0.815,0.465,0.336,"W3","S22","C1"
0.452,0.944,0.242,0.211,0.276,0.258,0.728,0.85,0.661,0.163,"W1","S29","C2"
0.635,0.342,0.333,0.211,0.244,0.516,0.988,0.858,0.331,0.431,"W1","S29","C1"
0.706,0.133,0.167,0.251,0.342,0.138,0.882,0.85,0.488,0.249,"W1","S23","C1"
0.366,0.261,0.394,0.11,0.242,0.23,0.984,0.752,0.209,0.128,"W3","S3","C3"
0.358,0.192,0.288,0,0.224,0.145,0.929,0.787,0.346,0.081,"W1","S9","C2"
0.462,0.794,0.061,0.137,0.265,0.279,0.819,0.941,0.669,0.349,"W1","S12","C2"
0.558,0,0.015,0.367,0.288,0.598,0.854,0.929,0.614,0.763,"W1","S12","C2"
0.464,0.094,0.212,0.195,0.26,0.266,0.854,0.815,0.48,0.394,"W1","S12","C2"
0.679,0.875,0.258,0.15,0.318,0.666,0.677,0.878,0.752,0.133,"W1","S22","C1"
0.593,0.469,0.121,0.03,0.231,0.347,0.89,0.961,0.594,0.532,"W1","S23","C1"
0.577,0.508,0.273,0.701,0.499,0.39,0.874,0.98,0.602,0.185,"W3","S33","C2"
0.539,0.972,0.121,0.292,0.283,0.641,0.807,0.89,0.626,0.77,"W1","S12","C2"
0.292,0.736,0.182,0.224,0.324,0.103,0.748,0.965,0.764,0.193,"W4","S10","C6"
0.696,0.15,0.409,0.193,0.313,0.206,0.882,0.681,0.26,0.325,"W3","S33","C1"
0.571,0.536,0.136,0.477,0.359,0.839,0.866,0.972,0.638,0.887,"W1","S29","C2"
0.595,0.481,0.152,0.155,0.159,0.109,0.89,0.965,0.594,0.195,"W1","S23","C1"
0.605,0.325,0.167,0.021,0.22,0.313,0.937,0.906,0.476,0.482,"W3","S24","C1"
0.682,0.864,0.303,0.228,0.342,0.204,0.646,0.874,0.776,0.411,"W1","S39","C1"
0.294,0.583,0.288,0.021,0.226,0.036,0.795,1,0.717,0.138,"W3","S17","C6"
0.533,0.061,0.182,0.387,0.391,0.42,0.835,0.843,0.539,0.17,"W3","S32","C2"
0.926,0.914,0.045,0.762,0.565,0.752,0.839,0.929,0.634,0.496,"W3","S40","C7"
0.781,0.156,0.106,0.485,0.457,0.422,0.886,0.886,0.528,0.301,"W3","S39","C7"
0.56,0.922,0.212,0.048,0.242,0.041,0.736,0.874,0.685,0.115,"W1","S22","C1"
0.546,0.05,0.303,0.457,0.394,0.203,0.787,0.764,0.492,0.381,"W3","S33","C2"
0.449,0.167,0.227,0.03,0.234,0.201,0.909,0.815,0.409,0.152,"W3","S33","C5"
0.562,0.822,0.318,0.192,0.315,0.802,0.61,0.898,0.831,0.163,"W1","S29","C2"
0.631,0.036,0.136,0.211,0.278,0.716,0.831,0.87,0.575,0.157,"W1","S29","C1"
0.348,0.367,0.167,0.213,0.364,0.085,0.937,0.921,0.488,0.136,"W3","S4","C3"
0.525,0.8,0.03,0.24,0.235,0.653,0.839,0.941,0.646,0.704,"W1","S19","C2"
0.605,0.108,0.045,0,0.224,0.208,0.866,0.913,0.587,0.423,"W3","S23","C1"
0.418,0.319,0.197,0.043,0.243,0.216,0.957,0.89,0.433,0.468,"W1","S12","C2"
0.628,0.011,0.242,0.299,0.253,0.215,0.776,0.815,0.571,0.495,"W3","S24","C1"
0.64,0.869,0.121,0.107,0.239,0.13,0.783,0.921,0.689,0.2,"W3","S23","C1"
0.664,0.594,0.318,0.091,0.267,0.216,0.768,1,0.74,0.607,"W2","S22","C1"
0.231,0.111,0.5,0.068,0.313,0.2,0.799,0.591,0.236,0.152,"W4","S10","C3"
0.292,0.114,0.379,0.116,0.296,0.083,0.843,0.693,0.331,0.088,"W3","S10","C6"
0.647,0.033,0.212,0.136,0.245,0.076,0.807,0.831,0.555,0.343,"W2","S23","C1"
0.657,0.864,0.258,0.091,0.264,0.34,0.669,0.886,0.764,0.145,"W3","S23","C1"
0.566,0.261,0.167,0.327,0.282,0.156,0.933,0.882,0.461,0.31,"W1","S29","C2"
0.709,0.061,0.061,0.322,0.264,0.827,0.854,0.906,0.591,0.109,"W1","S22","C1"
0.709,0.761,0.379,0.344,0.45,0.151,0.571,0.933,0.894,0.273,"W1","S29","C1"
0.155,0.878,0.333,0.144,0.317,0.134,0.622,0.85,0.772,0.114,"W4","S10","C6"
0.63,0.061,0.333,0.061,0.23,0.225,0.787,0.736,0.453,0.263,"W3","S24","C1"
0.669,0.494,0.091,0.021,0.224,0.374,0.878,0.961,0.61,0.12,"W1","S23","C1"
0.445,0.714,0.455,0.24,0.435,0.198,0.539,0.949,0.921,0.147,"W3","S13","C2"
0.609,0.022,0.47,0.116,0.3,0.698,0.661,0.638,0.465,0.276,"W1","S29","C1"
0.672,0.181,0.258,0,0.224,0.223,0.921,0.799,0.378,0.393,"W1","S29","C1"
0.193,0.017,0.515,0.068,0.286,0.097,0.63,0.61,0.457,0.072,"W4","S10","C6"
0.342,0.389,0.182,0.021,0.225,0.032,0.937,0.929,0.496,0.252,"W1","S30","C2"
0.756,0.85,0.121,0.262,0.28,0.202,0.776,0.925,0.701,0.123,"W3","S39","C7"
0.521,0.336,0.348,0.061,0.249,0.724,0.988,0.846,0.311,0.584,"W1","S29","C2"
0.263,0.903,0.288,0.107,0.328,0.121,0.669,0.85,0.724,0.101,"W4","S10","C6"
0.465,0.358,0.106,0.021,0.221,0.565,0.909,0.929,0.539,0.736,"W1","S30","C2"
0.688,0.839,0.212,0.116,0.236,0.603,0.705,0.917,0.76,0.074,"W3","S24","C1"
0.641,0.086,0.348,0,0.224,0.133,0.811,0.72,0.406,0.197,"W1","S29","C1"
0.461,0.256,0.136,0.203,0.212,0.147,0.921,0.894,0.488,0.36,"W1","S29","C2"
0.709,0.631,0.288,0.292,0.39,0.182,0.748,1,0.772,0.607,"W2","S32","C1"
0.584,0.95,0.152,0.596,0.465,0.782,0.787,0.89,0.646,0.748,"W1","S12","C2"
0.509,0.933,0.227,0.198,0.235,0.12,0.736,0.862,0.673,0.092,"W3","S32","C2"
0.649,0.922,0.091,0.152,0.196,0.119,0.815,0.917,0.65,0.152,"W2","S22","C1"
0.18,0.247,0.152,0.177,0.252,0.012,0.925,0.882,0.472,0.039,"W4","S2","C3"
0.433,0.567,0.045,0.068,0.22,0.222,0.858,0.953,0.634,0.558,"W1","S12","C2"
0.676,0.219,0.061,0.107,0.249,0.399,0.882,0.917,0.567,0.713,"W1","S29","C1"
0.581,0.169,0.439,0.125,0.346,0.299,0.902,0.661,0.209,0.39,"W3","S33","C1"
0.548,0.375,0.182,0.107,0.253,0.623,0.941,0.925,0.488,0.254,"W1","S30","C2"
0.549,0.014,0.121,0.03,0.225,0.605,0.827,0.886,0.598,0.303,"W1","S19","C2"
0.47,0.494,0.182,0.068,0.234,0.348,0.886,0.972,0.598,0.323,"W1","S12","C2"
0.735,0.256,0.515,0.137,0.326,0.312,0.98,0.661,0,0.098,"W3","S39","C7"
0.47,0.722,0.318,0.156,0.3,0.23,0.646,0.969,0.858,0.318,"W3","S13","C5"
0.417,0.372,0.348,0.198,0.371,0.234,0.98,0.878,0.354,0.152,"W3","S4","C3"
0.68,0.889,0.242,0.096,0.261,0.596,0.697,0.878,0.728,0.318,"W3","S32","C1"
0.387,0.306,0.091,0.292,0.238,0.074,0.909,0.917,0.531,0.198,"W1","S12","C2"
0.635,0.8,0.091,0.021,0.226,0.628,0.799,0.941,0.689,0.485,"W1","S22","C1"
0.591,0.553,0.136,0.365,0.318,0.639,0.854,0.976,0.65,0.21,"W1","S29","C2"
0.61,0.05,0.076,0.107,0.224,0.255,0.85,0.906,0.594,0.151,"W3","S21","C1"
0.459,0.333,0.197,0.125,0.258,0.239,0.953,0.902,0.449,0.37,"W1","S29","C2"
0.622,0.553,0.167,0.168,0.264,0.049,0.85,0.984,0.657,0.114,"W3","S31","C2"
0.553,0.322,0.167,0.259,0.236,0.648,0.945,0.902,0.465,0.737,"W1","S12","C2"
0.521,0.703,0.409,0.021,0.242,0.865,0.591,0.969,0.894,0.658,"W1","S24","C2"
0.527,0.064,0.303,0.068,0.269,0.177,0.803,0.76,0.469,0.122,"W3","S31","C2"
0.68,0.089,0.167,0.519,0.355,0.146,0.858,0.854,0.528,0.283,"W3","S22","C1"
0.442,0.125,0.091,0.376,0.258,0.235,0.874,0.89,0.547,0.267,"W1","S12","C2"
0.646,0.222,0.167,0.122,0.26,0.327,0.925,0.866,0.457,0.299,"W1","S29","C1"
0.665,0.375,0.121,0.269,0.32,0.504,0.917,0.933,0.531,0.461,"W1","S29","C1"
0.384,0.231,0.091,0.219,0.208,0.123,0.902,0.906,0.531,0.098,"W3","S17","C5"
0.64,0.047,0.242,0.144,0.244,0.71,0.807,0.807,0.524,0.185,"W1","S22","C1"
0.613,0.686,0.212,0.129,0.234,0.127,0.744,0.984,0.776,0.212,"W1","S29","C1"
0.596,0.564,0.061,0.666,0.289,0.83,0.858,0.957,0.634,0.508,"W1","S29","C2"
0.666,0.119,0.167,0.261,0.266,0.164,0.874,0.854,0.504,0.268,"W2","S23","C1"
0.591,0.306,0.091,0.043,0.212,0.501,0.909,0.917,0.531,0.176,"W3","S23","C1"
0.47,0.369,0.273,0.021,0.227,0.677,0.965,0.902,0.413,0.661,"W1","S30","C2"
0.329,0.344,0.258,0.137,0.311,0.081,0.969,0.89,0.402,0.123,"W3","S4","C3"
0.521,0.644,0.379,0.219,0.236,0.128,0.681,0.996,0.823,0.074,"W3","S13","C2"
0.56,0.642,0.152,0.375,0.329,0.842,0.803,0.98,0.717,0.898,"W1","S29","C2"
0.695,0.028,0.182,0.75,0.523,0.304,0.811,0.846,0.571,0.298,"W3","S38","C7"
0.792,0.25,0.197,0.091,0.209,0.174,0.941,0.862,0.429,0.142,"W2","S38","C7"
0.521,0.189,0.333,0.043,0.258,0.79,0.929,0.756,0.299,0.149,"W1","S30","C2"
0.591,0.894,0.197,0.144,0.238,0.45,0.732,0.89,0.709,0.121,"W3","S32","C1"
0.524,0.094,0.182,0.173,0.198,0.104,0.858,0.839,0.508,0.313,"W1","S29","C2"
0.562,0.856,0.288,0.048,0.245,0.026,0.654,0.886,0.78,0.126,"W1","S22","C1"
0.443,0.206,0.106,0.24,0.217,0.219,0.902,0.894,0.52,0.247,"W1","S29","C2"
0.814,0.294,0.348,0.323,0.292,0.363,0.992,0.807,0.268,0.302,"W1","S40","C7"
0.363,0.939,0.167,0.048,0.245,0.184,0.768,0.882,0.661,0.697,"W1","S12","C2"
0.693,0.119,0.152,0.578,0.292,0.529,0.874,0.862,0.516,0.343,"W1","S23","C1"
0.675,0.142,0.091,0.173,0.245,0.698,0.878,0.894,0.547,0.296,"W1","S22","C1"
0.646,0.089,0.348,0.203,0.339,0.182,0.819,0.72,0.398,0.043,"W1","S22","C1"
0.633,0.189,0.227,0,0.224,0.349,0.921,0.819,0.398,0.339,"W1","S23","C1"
0.708,0.497,0.212,0.086,0.245,0.433,0.886,0.976,0.598,0.127,"W1","S23","C1"
0.555,0.236,0.091,0.273,0.22,0.879,0.898,0.906,0.535,0.43,"W1","S30","C2"
0.654,0.1,0.197,0.36,0.3,0.808,0.862,0.831,0.492,0.116,"W1","S29","C1"
0.542,0.072,0.121,0.172,0.222,0.08,0.85,0.874,0.559,0.246,"W1","S29","C2"
0.663,0.889,0.061,0.089,0.245,0.189,0.823,0.929,0.65,0.017,"W3","S23","C1"
0.663,0.131,0.136,0.533,0.297,0.336,0.882,0.866,0.512,0.444,"W3","S31","C1"
0.381,0.556,0.167,0.077,0.242,0.258,0.85,0.984,0.657,0.128,"W3","S3","C3"
0.539,0.408,0.197,0.077,0.229,0.625,0.933,0.937,0.512,0.641,"W1","S29","C2"
0.431,0.017,0.091,0.129,0.229,0.329,0.835,0.894,0.602,0.612,"W1","S12","C2"
0.466,0.161,0.136,0.021,0.216,0.46,0.894,0.87,0.5,0.829,"W1","S20","C2"
0.545,0.5,0.015,0.107,0.229,0.656,0.862,0.941,0.618,0.829,"W1","S12","C2"
0.667,0.922,0.121,0.292,0.319,0.072,0.791,0.906,0.661,0.238,"W2","S22","C1"
0.747,0.433,0.242,0.581,0.475,0.18,0.929,0.945,0.512,0.181,"W3","S40","C7"
0.762,0.4,0.182,0.58,0.41,0.4,0.933,0.933,0.504,0.323,"W3","S39","C7"
0.417,0.133,0.106,0.048,0.229,0.021,0.878,0.882,0.535,0.13,"W3","S11","C5"
0.328,0.569,0.409,0.168,0.36,0.196,0.756,0.992,0.709,0.124,"W3","S4","C3"
0.548,0.367,0.167,0.215,0.279,0.48,0.937,0.921,0.488,0.167,"W1","S29","C2"
0.415,0.186,0.212,0.107,0.243,0.025,0.917,0.835,0.429,0.327,"W1","S29","C5"
0.638,0.383,0.182,0.259,0.301,0.025,0.941,0.929,0.492,0.24,"W3","S23","C2"
0.632,0.142,0.136,0.137,0.274,0.507,0.886,0.866,0.504,0.172,"W1","S29","C1"
0.328,0.892,0.348,0.089,0.301,0.104,0.61,0.831,0.76,0.074,"W3","S10","C6"
0.175,0.867,0.333,0.211,0.41,0.092,0.614,0.858,0.783,0.067,"W4","S10","C3"
0.658,0.55,0.136,0.089,0.245,0.078,0.854,0.976,0.65,0.118,"W2","S32","C1"
0.448,0.061,0.045,0.323,0.31,0.269,0.858,0.917,0.602,0.287,"W1","S12","C2"
0.378,0.169,0.121,0.24,0.243,0.052,0.894,0.878,0.508,0.179,"W1","S12","C2"
0.416,0.136,0.318,0.185,0.239,0.169,0.878,0.748,0.358,0.497,"W1","S12","C2"
0.565,0.5,0.182,0.473,0.326,0.859,0.882,0.972,0.606,0.771,"W1","S29","C2"
0.683,0.039,0.167,0.107,0.211,0.196,0.827,0.854,0.567,0.216,"W1","S29","C1"
0.616,0.294,0.121,0.152,0.271,0.497,0.917,0.909,0.512,0.09,"W1","S29","C1"
0.713,0.369,0.121,0.231,0.217,0.219,0.917,0.929,0.531,0.455,"W2","S38","C1"
0.66,0.05,0.015,0.28,0.256,0.23,0.858,0.929,0.614,0.036,"W3","S23","C1"
0.68,0.089,0.061,0.043,0.23,0.769,0.862,0.906,0.579,0.114,"W1","S22","C1"
0.489,0.542,0.242,0.107,0.278,0.324,0.846,0.992,0.654,0.224,"W1","S30","C2"
0.597,0.936,0.061,0.261,0.3,0.731,0.835,0.921,0.634,0.508,"W1","S29","C1"
0.344,0.314,0.182,0.086,0.226,0.072,0.945,0.898,0.461,0.181,"W1","S9","C2"
0.67,0.606,0.258,0.412,0.381,0.842,0.787,1,0.732,0.318,"W1","S30","C2"
0.68,0.589,0.136,0.089,0.233,0.445,0.839,0.976,0.673,0.169,"W3","S23","C1"
0.571,0.019,0.152,0.136,0.245,0.555,0.819,0.87,0.591,0.227,"W1","S29","C2"
0.639,0.811,0.258,0.251,0.212,0.369,0.665,0.921,0.807,0.054,"W3","S23","C1"
0.594,0.186,0.076,0.13,0.24,0.928,0.89,0.902,0.543,0.472,"W1","S29","C2"
0.577,0.003,0.182,0,0.224,0.153,0.799,0.858,0.598,0.326,"W3","S24","C1"
0.427,0.161,0.409,0.077,0.3,0.017,0.898,0.681,0.24,0.281,"W1","S30","C5"
0.476,0.258,0.197,0.301,0.234,0.115,0.945,0.866,0.425,0.335,"W1","S29","C2"
0.703,0.167,0.318,0.349,0.24,0.209,0.909,0.748,0.323,0.691,"W2","S22","C1"
0.575,0.922,0.121,0.155,0.278,0.443,0.791,0.906,0.661,0.26,"W1","S29","C2"
0.095,0.111,0.318,0.299,0.307,0.072,0.85,0.744,0.39,0.052,"W4","S5","C3"
0.741,0.939,0.227,0.457,0.286,0.331,0.728,0.854,0.669,0.142,"W3","S32","C1"
0.579,0.281,0.121,0.198,0.288,0.68,0.925,0.902,0.496,0.224,"W1","S29","C2"
0.529,0.297,0.091,0.116,0.233,0.645,0.909,0.913,0.528,0.237,"W1","S30","C2"
0.638,0.228,0.076,0.198,0.265,0.656,0.894,0.909,0.543,0.263,"W1","S23","C1"
0.693,0.05,0.182,0.455,0.3,0.563,0.831,0.846,0.551,0.505,"W1","S23","C1"
0.553,0.331,0.167,0.137,0.275,0.58,0.941,0.906,0.472,0.724,"W1","S30","C2"
0.634,0.414,0.303,0.344,0.288,0.138,0.949,0.925,0.449,0.315,"W1","S29","C1"
0.852,0.231,0.485,0.28,0.302,0.361,0.961,0.654,0.098,0.528,"W1","S40","C7"
0.394,0.325,0.167,0.228,0.267,0.093,0.941,0.906,0.472,0.194,"W1","S12","C2"
0.786,0.261,0.394,0.261,0.473,0.54,0.984,0.752,0.209,0.484,"W3","S39","C7"
0.689,0.081,0.167,0.487,0.322,0.372,0.85,0.85,0.528,0.469,"W3","S31","C1"
0.307,0.394,0.333,0.183,0.262,0.285,0.969,0.898,0.394,0.013,"W3","S4","C3"
0.496,0.186,0.364,0.089,0.289,0.019,0.929,0.724,0.26,0.178,"W1","S29","C5"
0.535,0.183,0.379,0.183,0.393,0.038,0.925,0.713,0.248,0.204,"W1","S29","C5"
0.333,0.097,0.515,0.192,0.38,0.144,0.768,0.575,0.248,0.142,"W3","S10","C6"
0.606,0.847,0.167,0.11,0.217,0.527,0.74,0.921,0.732,0.234,"W3","S22","C1"
0.642,0.225,0.258,0.048,0.227,0.135,0.949,0.819,0.358,0.206,"W1","S29","C1"
0.688,0.15,0.242,0.262,0.349,0.132,0.898,0.799,0.409,0.729,"W2","S22","C1"
0.432,0.114,0.136,0.03,0.231,0.043,0.87,0.862,0.52,0.118,"W1","S30","C5"
